Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix_Suffix,Domain_Length,Digit_Count,Hyphen_Count,Dot_Count,Common_TLD,Subdomain_Count,Label
0,0,1,1,0,0,0,0,16,0,0,1,1,0,0
0,0,1,1,1,0,0,0,9,0,0,1,0,0,0
0,0,1,1,0,0,0,0,12,0,0,1,1,0,0
0,0,1,3,0,0,0,0,15,0,0,1,0,0,0
0,0,1,3,0,0,0,0,13,0,0,1,1,0,0
0,0,1,4,0,0,1,0,10,0,0,1,1,0,0
0,0,1,2,0,0,0,0,15,0,0,2,0,1,0
0,0,1,6,0,0,0,0,14,0,0,1,1,0,0
0,0,1,2,0,0,0,0,10,0,0,1,1,0,0
0,0,1,5,0,0,0,0,15,0,0,1,1,0,0
0,0,1,5,0,0,0,0,10,0,0,1,1,0,0
0,0,1,3,0,0,0,0,7,0,0,1,0,0,0
0,0,1,4,0,0,0,0,11,0,0,1,1,0,0
0,0,1,3,0,0,0,0,7,0,0,1,1,0,0
0,0,1,6,0,0,0,0,14,0,0,1,1,0,0
0,0,1,3,0,0,0,0,17,0,0,2,1,1,0
0,0,1,3,0,0,0,0,6,0,0,1,0,0,0
0,0,1,4,0,0,1,0,15,0,0,1,1,0,0
0,0,1,2,0,0,0,0,10,0,0,1,0,0,0
0,0,1,2,0,0,0,0,10,0,0,1,0,0,0
0,0,1,1,0,0,0,0,15,3,0,1,1,0,0
0,0,1,4,0,0,0,0,11,0,0,2,0,1,0
0,0,1,2,0,0,0,0,9,0,0,1,0,0,0
0,0,1,2,0,0,0,0,8,0,0,1,1,0,0
0,0,1,1,0,0,0,0,17,0,0,1,1,0,0
0,0,1,2,0,0,0,0,13,0,0,1,0,0,0
0,0,1,3,0,0,0,0,13,0,0,1,1,0,0
0,0,1,2,0,0,0,0,12,0,0,1,1,0,0
0,0,1,3,0,0,0,0,7,0,0,1,1,0,0
0,0,1,7,0,0,0,0,14,0,0,1,1,0,0
0,0,1,2,0,0,0,0,8,0,0,1,1,0,0
0,0,1,1,0,0,0,0,17,0,0,1,1,0,0
0,0,1,3,0,0,1,0,15,0,0,1,1,0,0
0,0,1,6,0,0,0,0,10,0,0,1,1,0,0
0,0,1,4,0,0,0,0,17,0,0,1,1,0,0
0,0,1,4,0,0,1,0,10,0,0,1,1,0,0
0,0,1,10,0,0,0,0,15,0,0,1,1,0,0
0,0,1,3,0,0,0,0,15,0,0,1,1,0,0
0,0,1,4,0,0,0,0,9,0,0,1,1,0,0
0,0,1,3,0,0,1,0,15,0,0,1,1,0,0
0,0,1,1,0,0,0,0,11,0,0,1,1,0,0
0,0,1,5,0,0,0,0,11,0,0,1,1,0,0
0,0,1,3,0,0,0,0,9,0,0,1,0,0,0
0,0,1,2,0,0,0,0,13,0,0,1,1,0,0
0,0,1,3,0,0,0,0,10,0,0,1,0,0,0
0,0,1,1,0,0,0,0,17,0,0,1,1,0,0
0,0,1,2,0,0,0,0,10,0,0,1,0,0,0
